block,target_1,target_2,category,orientation,identity,duration,stim_jit
20,face_17,object_09,letter,center,letter_17,1.49333333333333,0.28
20,face_17,object_09,letter,center,letter_01,0.506666666666667,0.293333333333333
20,face_17,object_09,object,right,object_12,1,0.533333333333333
20,face_17,object_09,letter,center,letter_13,1,0.4
20,face_17,object_09,face,right,face_09,0.506666666666667,0.213333333333333
20,face_17,object_09,face,right,face_17,1.49333333333333,0.266666666666667
20,face_17,object_09,object,center,object_04,0.506666666666667,0.226666666666667
20,face_17,object_09,face,center,face_01,1.49333333333333,0.226666666666667
20,face_17,object_09,face,center,face_15,1,0.32
20,face_17,object_09,false_font,right,false_font_20,0.506666666666667,0.226666666666667
20,face_17,object_09,false_font,left,false_font_01,0.506666666666667,0.466666666666667
20,face_17,object_09,object,left,object_19,0.506666666666667,0.413333333333333
20,face_17,object_09,false_font,center,false_font_07,0.506666666666667,0.28
20,face_17,object_09,object,center,object_07,1,0.466666666666667
20,face_17,object_09,face,right,face_19,1.49333333333333,0.333333333333333
20,face_17,object_09,face,center,face_17,0.506666666666667,0.226666666666667
20,face_17,object_09,false_font,center,false_font_19,1.49333333333333,0.28
20,face_17,object_09,letter,center,letter_10,1,0.2
20,face_17,object_09,false_font,right,false_font_05,0.506666666666667,0.266666666666667
20,face_17,object_09,object,center,object_12,1,0.28
20,face_17,object_09,letter,right,letter_08,1,0.213333333333333
20,face_17,object_09,letter,center,letter_16,1.49333333333333,0.4
20,face_17,object_09,face,center,face_06,1.49333333333333,0.226666666666667
20,face_17,object_09,false_font,left,false_font_08,0.506666666666667,0.213333333333333
20,face_17,object_09,false_font,center,false_font_10,0.506666666666667,0.333333333333333
20,face_17,object_09,object,left,object_09,0.506666666666667,0.293333333333333
20,face_17,object_09,object,right,object_12,1.49333333333333,0.413333333333333
21,face_07,object_15,face,center,face_07,0.506666666666667,0.213333333333333
21,face_07,object_15,object,left,object_15,1.49333333333333,0.32
21,face_07,object_15,object,center,object_08,1.49333333333333,0.226666666666667
21,face_07,object_15,face,center,face_07,1.49333333333333,0.293333333333333
21,face_07,object_15,object,center,object_03,1.49333333333333,0.24
