real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
1,006910571;1; 0,0069106 ;1,228821128;1,232;-0,003178872;2,006880093;3,212079228
1,506903164;1,5; 0,0069032 ;0,001332428;0;0,001332428;2,006885636;3,148114028
0,506924022;0,5; 0,0069240 ;0,462731686;0,466;-0,003268314;2,006908371;3,319158586
1,506894587;1,5; 0,0068946 ;0,112653808;0,116;-0,003346192;1,99990122;3,059920108
0,499952309;0,5;-0,0000477 ;0,228619292;0,232;-0,003380708;2,0068568;3,131909292
1,506903085;1,5; 0,0069031 ;0,001371548;0;0,001371548;1,999944169;3,842336648
1,50692448;1,5; 0,0069245 ;0,462713637;0,466;-0,003286363;2,006885844;3,855147437
0,999968098;1;-0,0000319 ;0,00133357;0;0,00133357;2,006885196;3,58108777
1,506930713;1,5; 0,0069307 ;1,496791135;1,5;-0,003208865;2,006889942;2,767270635
1,499984744;1,5;-0,0000153 ;0,112623764;0,116;-0,003376236;1,999934591;3,584388464
1,506900464;1,5; 0,0069005 ;0,462603943;0,466;-0,003396057;2,006849609;3,627586943
1,506900013;1,5; 0,0069000 ;0,001357477;0;0,001357477;1,999939202;2,707519877
0,499958171;0,5;-0,0000418 ;0,728566457;0,732;-0,003433543;1,999911415;3,789073457
